,Race,Count,Percentage
0,American Indian,251,0.0002524767364313872
1,Asian,20989,0.021112486936089185
2,Biracial,15,1.5088251181158597e-05
3,Black,681437,0.685446174675678
4,Latinx,163865,0.1648290853200369
5,Unknown,3066,0.003084038541428817
6,White,124528,0.12526064953915453
