,Race,Count,Percentage
0,American Indian,4,5.625364769746788e-06
1,Asian,3013,0.004237306012811768
2,Biracial,37,5.2034624120157794e-05
3,Black,520990,0.7326896978475949
4,Latinx,101209,0.14233438574532567
5,Unknown,1211,0.0017030791840408402
6,White,84601,0.118977871221337
