,Race,Count,Percentage
0,American Indian,1015,0.0010890359296021424
1,Asian,6608,0.007089999431340845
2,Biracial,567,0.0006083580020536106
3,Black,643173,0.6900871979802944
4,Latinx,160276,0.17196682034769753
5,Unknown,2172,0.0023304295951683284
6,White,118206,0.1268281587138432
